idx,id,type,name,uri
53,application/xml,DATA,Extensible Markup Language Application,http://schema.geolink.org/dev/voc/dataone/format#053
54,application/rtf,DATA,Rich Text Format,http://schema.geolink.org/dev/voc/dataone/format#054
55,text/html,DATA,Hypertext Markup Language,http://schema.geolink.org/dev/voc/dataone/format#055
56,application/postscript,DATA,Postscript,http://schema.geolink.org/dev/voc/dataone/format#056
57,audio/x-wav,DATA,Wave Audio Format,http://schema.geolink.org/dev/voc/dataone/format#057
58,application/mathematica,DATA,Mathematica Notebook,http://schema.geolink.org/dev/voc/dataone/format#058
59,video/quicktime,DATA,Quicktime Video,http://schema.geolink.org/dev/voc/dataone/format#059
60,application/x-gzip,DATA,GZIP Format,http://schema.geolink.org/dev/voc/dataone/format#060
61,application/x-python,DATA,Python Script,http://schema.geolink.org/dev/voc/dataone/format#061
62,video/x-ms-wmv,DATA,Windows Media Video File,http://schema.geolink.org/dev/voc/dataone/format#062
63,audio/x-ms-wma,DATA,Windows Media Audio File,http://schema.geolink.org/dev/voc/dataone/format#063
64,video/avi,DATA,Microsoft Audio Video Interleave (AVI) File,http://schema.geolink.org/dev/voc/dataone/format#064
65,video/mpeg,DATA,MPEG-1 Video,http://schema.geolink.org/dev/voc/dataone/format#065
66,audio/mpeg,DATA,MPEG-1 or MPEG-2 Audio Layer III,http://schema.geolink.org/dev/voc/dataone/format#066
67,video/mp4,DATA,MPEG-4 Video,http://schema.geolink.org/dev/voc/dataone/format#067
68,application/x-tar,DATA,Tape Archive File,http://schema.geolink.org/dev/voc/dataone/format#068
69,application/x-bzip2,DATA,Bzip2 Compressed File,http://schema.geolink.org/dev/voc/dataone/format#069
70,application/vnd.google-earth.kml xml,DATA,Google Earth Keyhole Markup Language (KML),http://schema.geolink.org/dev/voc/dataone/format#070
71,application/x-rar-compressed,DATA,Roshal Archive File,http://schema.geolink.org/dev/voc/dataone/format#071
72,application/vnd.ms-excel.sheet.binary.macroEnabled.12,DATA,Microsoft Office Excel 2007 binary workbooks,http://schema.geolink.org/dev/voc/dataone/format#072
73,application/vnd.ms-powerpoint,DATA,Microsoft Office Powerpoint,http://schema.geolink.org/dev/voc/dataone/format#073
74,application/vnd.openxmlformats-officedocument.presentationml.presentation,DATA,Microsoft Office OpenXML Presentation,http://schema.geolink.org/dev/voc/dataone/format#074
75,-//ecoinformatics.org//eml-access-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Access module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#075
76,-//ecoinformatics.org//eml-attribute-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Attribute module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#076
77,-//ecoinformatics.org//eml-constraint-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Constraint module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#077
78,-//ecoinformatics.org//eml-coverage-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Coverage module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#078
79,-//ecoinformatics.org//eml-dataset-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Dataset module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#079
80,-//ecoinformatics.org//eml-distribution-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Distribution module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#080
81,-//ecoinformatics.org//eml-entity-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Entity module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#081
82,-//ecoinformatics.org//eml-literature-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Literature module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#082
83,-//ecoinformatics.org//eml-party-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Party module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#083
84,-//ecoinformatics.org//eml-physical-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Physical module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#084
85,-//ecoinformatics.org//eml-project-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Project module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#085
86,-//ecoinformatics.org//eml-protocol-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Protocol module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#086
87,-//ecoinformatics.org//eml-resource-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Resource module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#087
88,-//ecoinformatics.org//eml-software-2.0.0beta4//EN,METADATA,"Ecological Metadata Language, Software module, version 2.0.0beta4",http://schema.geolink.org/dev/voc/dataone/format#088
89,-//ecoinformatics.org//eml-access-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Access module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#089
90,-//ecoinformatics.org//eml-attribute-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Attribute module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#090
91,-//ecoinformatics.org//eml-constraint-2.0.0beta6//EN,METADATA,"Ecological Metadata Language, Constraint module, version 2.0.0beta6",http://schema.geolink.org/dev/voc/dataone/format#091
